County	Election Date	Precinct	Contest Group ID	Contest Type	Contest Name	Choice	Choice Party	Vote For	Election Day	Early Voting	Absentee by Mail	Provisional	Total Votes	Real Precinct	
BUNCOMBE	03/03/2026	19.1	2137	S	US HOUSE OF REPRESENTATIVES DISTRICT 11 (REP)	Chuck Edwards	REP	1	13	17	3	0	33	Y	
BUNCOMBE	03/03/2026	20.1	20	C	CITY OF ASHEVILLE CITY COUNCIL	Nina Ireland	 	3	19	31	0	0	50	Y	
BUNCOMBE	03/03/2026	20.1	1124	S	NC COURT OF APPEALS JUDGE SEAT 03 (DEM)	Christine Marie Walczyk	DEM	1	73	151	1	0	225	Y	
BUNCOMBE	03/03/2026	20.1	2135	S	US HOUSE OF REPRESENTATIVES DISTRICT 11 (DEM)	Jamie Ager	DEM	1	99	199	1	1	300	Y	
BUNCOMBE	03/03/2026	20.1	2149	S	US SENATE (REP)	Elizabeth A. Temple	REP	1	0	1	0	0	1	Y	
BUNCOMBE	03/03/2026	21.1	1120	S	NC COURT OF APPEALS JUDGE SEAT 01 (REP)	Matt Smith	REP	1	14	19	0	0	33	Y	
BUNCOMBE	03/03/2026	21.1	2135	S	US HOUSE OF REPRESENTATIVES DISTRICT 11 (DEM)	Richard Hudspeth	DEM	1	49	52	0	0	101	Y	
BUNCOMBE	03/03/2026	22.2	20	C	CITY OF ASHEVILLE CITY COUNCIL	Keith Young	 	3	76	115	2	0	193	Y	
BUNCOMBE	03/03/2026	22.2	1120	S	NC COURT OF APPEALS JUDGE SEAT 01 (REP)	Matt Smith	REP	1	20	10	1	0	31	Y	
BUNCOMBE	03/03/2026	22.2	2135	S	US HOUSE OF REPRESENTATIVES DISTRICT 11 (DEM)	Zelda Briarwood	DEM	1	39	26	2	0	67	Y	
BUNCOMBE	03/03/2026	22.2	2147	S	US SENATE (DEM)	Daryl Farrow	DEM	1	4	1	0	0	5	Y	
BUNCOMBE	03/03/2026	23.2	2135	S	US HOUSE OF REPRESENTATIVES DISTRICT 11 (DEM)	Paul Maddox	DEM	1	3	2	0	0	5	Y	
BUNCOMBE	03/03/2026	23.2	2147	S	US SENATE (DEM)	Orrick Quick	DEM	1	0	0	0	0	0	Y	
BUNCOMBE	03/03/2026	23.2	2149	S	US SENATE (REP)	Donald M. (Don) Brown	REP	1	1	1	0	0	2	Y	
BUNCOMBE	03/03/2026	23.3	20	C	CITY OF ASHEVILLE CITY COUNCIL	CJ Snyder	 	3	9	4	0	0	13	Y	
BUNCOMBE	03/03/2026	23.3	1124	S	NC COURT OF APPEALS JUDGE SEAT 03 (DEM)	Christine Marie Walczyk	DEM	1	82	112	3	1	198	Y	
BUNCOMBE	03/03/2026	23.3	2137	S	US HOUSE OF REPRESENTATIVES DISTRICT 11 (REP)	Chuck Edwards	REP	1	18	17	0	0	35	Y	
BUNCOMBE	03/03/2026	24.1	20	C	CITY OF ASHEVILLE CITY COUNCIL	Jess Young McLean	 	3	41	61	1	0	103	Y	
BUNCOMBE	03/03/2026	24.1	20	C	CITY OF ASHEVILLE CITY COUNCIL	Shaunda Jackson	 	3	35	41	1	0	77	Y	
BUNCOMBE	03/03/2026	24.1	1475	S	NC DISTRICT COURT JUDGE DISTRICT 40 SEAT 03 (DEM)	James H. Mills	DEM	1	88	115	0	0	203	Y	
BUNCOMBE	03/03/2026	24.1	2149	S	US SENATE (REP)	Richard Dansie	REP	1	4	4	0	0	8	Y	
BUNCOMBE	03/03/2026	25.1	20	C	CITY OF ASHEVILLE CITY COUNCIL	Jeffrey Burroughs	 	3	58	85	0	0	143	Y	
BUNCOMBE	03/03/2026	25.1	20	C	CITY OF ASHEVILLE CITY COUNCIL	R. Blake Butler	 	3	25	43	0	0	68	Y	
BUNCOMBE	03/03/2026	25.1	1106	S	DISTRICT ATTORNEY DISTRICT 40 (DEM)	Courtney Virginia Booth	DEM	1	83	112	0	1	196	Y	
BUNCOMBE	03/03/2026	26.1	20	C	CITY OF ASHEVILLE CITY COUNCIL	Maggie Ullman Berthiaume	 	3	120	130	3	0	253	Y	
BUNCOMBE	03/03/2026	26.1	2149	S	US SENATE (REP)	Thomas Johnson	REP	1	2	0	0	0	2	Y	
BUNCOMBE	03/03/2026	27.2	2135	S	US HOUSE OF REPRESENTATIVES DISTRICT 11 (DEM)	Paul Maddox	DEM	1	3	3	1	0	7	Y	
BUNCOMBE	03/03/2026	28.1	2149	S	US SENATE (REP)	Thomas Johnson	REP	1	1	1	0	0	2	Y	
BUNCOMBE	03/03/2026	29.2	20	C	CITY OF ASHEVILLE CITY COUNCIL	Sheneika E. Smith	 	3	67	79	9	3	158	Y	
BUNCOMBE	03/03/2026	29.2	1106	S	DISTRICT ATTORNEY DISTRICT 40 (DEM)	Martin Moore	DEM	1	101	233	28	1	363	Y	
BUNCOMBE	03/03/2026	29.2	2149	S	US SENATE (REP)	Thomas Johnson	REP	1	7	2	0	0	9	Y	
BUNCOMBE	03/03/2026	30.2	15	C	BUNCOMBE COUNTY SHERIFF (REP)	Vic Morman	REP	1	23	30	0	0	53	Y	
BUNCOMBE	03/03/2026	30.3	1124	S	NC COURT OF APPEALS JUDGE SEAT 03 (DEM)	Christine Marie Walczyk	DEM	1	148	160	13	1	322	Y	
BUNCOMBE	03/03/2026	31.1	2147	S	US SENATE (DEM)	Robert Colon	DEM	1	0	0	0	0	0	Y	
BUNCOMBE	03/03/2026	32.1	1106	S	DISTRICT ATTORNEY DISTRICT 40 (DEM)	Martin Moore	DEM	1	51	111	6	0	168	Y	
BUNCOMBE	03/03/2026	33.2	2137	S	US HOUSE OF REPRESENTATIVES DISTRICT 11 (REP)	Adam R. Smith	REP	1	15	28	0	1	44	Y	
BUNCOMBE	03/03/2026	43.2	2135	S	US HOUSE OF REPRESENTATIVES DISTRICT 11 (DEM)	Paul Maddox	DEM	1	7	12	0	0	19	Y	
BUNCOMBE	03/03/2026	45.1	20	C	CITY OF ASHEVILLE CITY COUNCIL	Bobby Smith	 	3	0	0	0	0	0	Y	
BUNCOMBE	03/03/2026	45.1	1475	S	NC DISTRICT COURT JUDGE DISTRICT 40 SEAT 03 (DEM)	Ben Scales	DEM	1	139	165	8	0	312	Y	
BUNCOMBE	03/03/2026	45.1	2147	S	US SENATE (DEM)	Justin E. Dues	DEM	1	15	20	1	0	36	Y	
BUNCOMBE	03/03/2026	46.1	20	C	CITY OF ASHEVILLE CITY COUNCIL	Bobby Smith	 	3	0	0	0	0	0	Y	
BUNCOMBE	03/03/2026	47.1	2147	S	US SENATE (DEM)	Roy Cooper	DEM	1	152	299	1	1	453	Y	
BUNCOMBE	03/03/2026	48.1	15	C	BUNCOMBE COUNTY SHERIFF (REP)	Gary Parris	REP	1	112	129	0	2	243	Y	
BUNCOMBE	03/03/2026	49.1	1106	S	DISTRICT ATTORNEY DISTRICT 40 (DEM)	Courtney Virginia Booth	DEM	1	66	79	1	0	146	Y	
BUNCOMBE	03/03/2026	49.1	2137	S	US HOUSE OF REPRESENTATIVES DISTRICT 11 (REP)	Adam R. Smith	REP	1	59	48	1	1	109	Y	
BUNCOMBE	03/03/2026	49.1	2147	S	US SENATE (DEM)	Marcus W. Williams	DEM	1	10	9	0	0	19	Y	
BUNCOMBE	03/03/2026	49.1	2149	S	US SENATE (REP)	Michael Whatley	REP	1	123	99	0	2	224	Y	
BUNCOMBE	03/03/2026	50.1	4	C	BUNCOMBE COUNTY BOARD OF COMMISSIONERS DISTRICT 02 (DEM)	Terry Threadwell	DEM	1	56	30	0	0	86	Y	
BUNCOMBE	03/03/2026	50.1	1106	S	DISTRICT ATTORNEY DISTRICT 40 (DEM)	Martin Moore	DEM	1	33	36	0	0	69	Y	
BUNCOMBE	03/03/2026	50.1	1475	S	NC DISTRICT COURT JUDGE DISTRICT 40 SEAT 03 (DEM)	James H. Mills	DEM	1	44	47	2	0	93	Y	
BUNCOMBE	03/03/2026	50.1	2137	S	US HOUSE OF REPRESENTATIVES DISTRICT 11 (REP)	Chuck Edwards	REP	1	56	17	1	0	74	Y	
BUNCOMBE	03/03/2026	51.2	15	C	BUNCOMBE COUNTY SHERIFF (REP)	Vic Morman	REP	1	18	14	1	0	33	Y	
BUNCOMBE	03/03/2026	51.2	2135	S	US HOUSE OF REPRESENTATIVES DISTRICT 11 (DEM)	Jamie Ager	DEM	1	76	122	0	1	199	Y	
BUNCOMBE	03/03/2026	51.2	2147	S	US SENATE (DEM)	Robert Colon	DEM	1	1	2	0	0	3	Y	
BUNCOMBE	03/03/2026	52.1	1120	S	NC COURT OF APPEALS JUDGE SEAT 01 (REP)	Michael C. Byrne	REP	1	93	99	1	0	193	Y	
BUNCOMBE	03/03/2026	52.1	1475	S	NC DISTRICT COURT JUDGE DISTRICT 40 SEAT 03 (DEM)	James H. Mills	DEM	1	90	151	0	2	243	Y	
