"CandidateId","CandidateName","TOTAL_VOTES","Party","WriteInVote","LocalityCode","LocalityName","PrecinctId","PrecinctName","DistrictId","DistrictType","DistrictName","OfficeId","OfficeTitle","ElectionId","ElectionType","ElectionDate","ElectionName","NumberOfSeats"
"cs852","Abigail D. Spanberger","630","Democratic","0","001","ACCOMACK COUNTY","0101","101 - CHINCOTEAGUE","ed3","state","Virginia","cc535","Governor","8e12a3ef-b316-447a-ac23-d0beb7f3fbe8","General","2025-11-04","2025 November General","1"
"cs329","Ghazala F. Hashmi","597","Democratic","0","001","ACCOMACK COUNTY","0101","101 - CHINCOTEAGUE","ed3","state","Virginia","cc216","Lieutenant Governor","8e12a3ef-b316-447a-ac23-d0beb7f3fbe8","General","2025-11-04","2025 November General","1"
"cs837","Jason S. Miyares","1075","Republican","0","001","ACCOMACK COUNTY","0101","101 - CHINCOTEAGUE","ed3","state","Virginia","cc524","Attorney General","8e12a3ef-b316-447a-ac23-d0beb7f3fbe8","General","2025-11-04","2025 November General","1"
"cs838","Jay C. Jones","574","Democratic","0","001","ACCOMACK COUNTY","0101","101 - CHINCOTEAGUE","ed3","state","Virginia","cc524","Attorney General","8e12a3ef-b316-447a-ac23-d0beb7f3fbe8","General","2025-11-04","2025 November General","1"
"cs328","John J. Reid, II","1059","Republican","0","001","ACCOMACK COUNTY","0101","101 - CHINCOTEAGUE","ed3","state","Virginia","cc216","Lieutenant Governor","8e12a3ef-b316-447a-ac23-d0beb7f3fbe8","General","2025-11-04","2025 November General","1"
"cs731","Liz W. Richardson","554","Democratic","0","001","ACCOMACK COUNTY","0101","101 - CHINCOTEAGUE","ed6097","state-house","100","cc463","Member, House of Delegates (100th District)","8e12a3ef-b316-447a-ac23-d0beb7f3fbe8","General","2025-11-04","2025 November General","1"
"cs732","Robert S. Bloxom Jr.","1105","Republican","0","001","ACCOMACK COUNTY","0101","101 - CHINCOTEAGUE","ed6097","state-house","100","cc463","Member, House of Delegates (100th District)","8e12a3ef-b316-447a-ac23-d0beb7f3fbe8","General","2025-11-04","2025 November General","1"
"cs853","Winsome Earle-Sears","1033","Republican","0","001","ACCOMACK COUNTY","0101","101 - CHINCOTEAGUE","ed3","state","Virginia","cc535","Governor","8e12a3ef-b316-447a-ac23-d0beb7f3fbe8","General","2025-11-04","2025 November General","1"
"wi-cc535","WRITE IN VOTES","","","1","001","ACCOMACK COUNTY","0101","101 - CHINCOTEAGUE","ed3","state","Virginia","cc535","Governor","8e12a3ef-b316-447a-ac23-d0beb7f3fbe8","General","2025-11-04","2025 November General","1"
"wi-cc216","WRITE IN VOTES","","","1","001","ACCOMACK COUNTY","0101","101 - CHINCOTEAGUE","ed3","state","Virginia","cc216","Lieutenant Governor","8e12a3ef-b316-447a-ac23-d0beb7f3fbe8","General","2025-11-04","2025 November General","1"
