"filer_name","election_year","jurisdiction","office","position","party","contributions_amount","expenditures_amount","debts_amount","independent_expenditures_for_amount","independent_expenditures_against_amount","jurisdiction_type","candidacy_id","jurisdiction_code","declared","withdrew","discontinued"
"AAMOLD JERALD A","2015","CHELAN FIRE PROT DIST 01","FIRE COMMISSIONER",,"NON PARTISAN","0","0","0","0","0","Local","7044","3115",,,
"Aaron A J Derr (Aaron Derr)","2019","CITY OF ELECTRIC CITY","MAYOR",,,"0","0","0","0","0","Local","18552","3265","2019-05-15T00:00:00.000",,
"Aaron Alderman","2023","CITY OF WOODLAND *","CITY COUNCIL MEMBER","4",,"0","0","0","0","0","Local","737967","4413","2023-05-15T00:00:00.000",,
"Aaron Baan Kester (Aaron Kester)","2022","OKANOGAN CO","COUNTY COMMISSIONER","3","INDEPENDENT","0","0","0","0","0","Local","654884","3801","2022-05-19T00:00:00.000",,
"Aaron Baan Kester (AARON KESTER)","2016","OKANOGAN PUD 01","PUBLIC UTILITY COMMISSIONER",,"NON PARTISAN","0","0","0","0","0","Local","4178","3816",,,
"Aaron Berghaus","2021","CITY OF WOODLAND *","CITY COUNCIL MEMBER","6",,"0","0","0","0","0","Local","449723","4413","2021-05-20T00:00:00.000",,"2021-05-28T00:00:00.000"
"Aaron Bessonette (Aaron D. Bessonette)","2023","CASHMERE SD 222","SCHOOL DIRECTOR",,,"0","0","0","0","0","Local","746719","3098","2023-05-15T00:00:00.000",,
"Aaron B Grady","2023","CURLEW SD 050 *","SCHOOL DIRECTOR","5",,"0","0","0","0","0","Local","2079036","3217","2023-05-16T00:00:00.000",,
"Aaron Brown","2025","CITY OF WOODLAND *","CITY COUNCIL MEMBER","1",,"0","0","0","0","0","Local","3335697","4413","2025-05-09T00:00:00.000",,
"Aaron Cockrum","2023","YAKIMA FIRE PROT DIST 12","FIRE COMMISSIONER","1",,"0","0","0","0","0","Local","884424","4432","2023-05-16T00:00:00.000",,
"Aaron C. Riggs","2023","RICHLAND SD 400","SCHOOL DIRECTOR","4",,"0","0","0","0","0","Local","1312282","4011","2023-05-19T00:00:00.000",,
"Aaron D Hoffman (Aaron Hoffman)","2025","CITY OF SNOHOMISH","MAYOR",,,"42665.58","36968.03","0.0","10000.00","0","Local","3321623","4106","2025-05-07T00:00:00.000",,
"Aaron Duane Davis (Aaron Davis)","2025","CITY OF BONNEY LAKE","CITY COUNCIL MEMBER","6",,"0","0","0","0","0","Local","3325808","3069","2025-05-06T00:00:00.000",,
"Aaron F Davis","2025","OAKESDALE PARK & REC DIST 4","PARK & RECREATION COMMISSIONER","4",,"0","0","0","0","0","Local","3335889","4395","2025-05-09T00:00:00.000",,
