CountyName,Address,Contact,CountyOfficials
"Albany County Board of Elections","260 South Pearl Street  | Albany NY 12202","PHONE: 518-487-5060 | FAX: 518-487-5077 | EMAIL: boardofelections@albanycountyny.gov | URL: https://www.albanycountyny.gov/departments/board-of-elections","Alison McLean Lane Commissioner DEM | Rachel L Bledi Commissioner REP | David Cady Deputy Commissioner DEM | Melissa Kermani Deputy Commissioner REP",
"Allegany County Board of Elections","8 Willetts Avenue  | Belmont NY 14813","PHONE: 585-268-9294 | FAX: 585-268-9406 | EMAIL: ACBOE@alleganyco.gov | URL: https://www.alleganyco.gov/departments/board-of-elections/","Michael J McCormick Commissioner DEM | Brent L Reynolds Commissioner REP | Barbara Broughton Deputy Commissioner DEM | Marcy Crawford Deputy Commissioner REP",
"Bronx County Board of Elections","1780 Grand Concourse 5th Floor | Bronx NY 10457","PHONE: 718-299-9017 | FAX: 718-299-2140 | EMAIL: voterreg@boe.nyc.ny.us | URL: https://vote.nyc/","Jodi Morales Commissioner DEM | Gino A Marmorato Commissioner REP",
"Broome County Board of Elections","Government Plaza - 60 Hawley Street P.O. Box 1766 | Binghamton NY 13902","PHONE: 607-778-2172 | FAX: 607-778-2174 | EMAIL: bcboe@broomecountyny.gov | URL: https://www.broomevotes.com/","Daniel D Reynolds Commissioner DEM | Mark E Smith Commissioner REP | Christina Dutko Deputy Commissioner DEM | Joe Bertoni Deputy Commissioner REP",
"Cattaraugus County Board of Elections","207 Rock City Street Suite 100 | Little Valley NY 14755","PHONE: 716-938-2400 | FAX: 716-938-2775 | EMAIL: BOE-Support@cattco.org | URL: https://www.cattco.gov/board-elections","Kevin C Burleson Commissioner DEM | Cortney Spittler Commissioner REP | Laura Howard Deputy Commissioner DEM | Danielle Wing Deputy Commissioner REP",
"Cayuga County Board of Elections","157 Genesee Street (Basement)  | Auburn NY 13021","PHONE: 315-253-1285 | FAX: 315-253-1289 | EMAIL: Elections@cayugacounty.gov | URL: https://www.cayugacounty.gov/196/Board-of-Elections","Ken Warner Commissioner DEM | Chantell Hotaling Commissioner REP | Katie Trojnor-Riley Deputy Commissioner DEM | Roberta Massarini Deputy Commissioner REP",
"Chautauqua County Board of Elections","7 North Erie Street  | Mayville NY 14757","PHONE: 716-753-4580 | FAX: 716-753-4111 | EMAIL: vote@chqgov.com | URL: https://chautauquacountyny.gov/board-of-elections/Board-of-Elections","Luz Torres Commissioner DEM | Nacole Ellis Commissioner REP | Christopher Burt Deputy Commissioner DEM | Natalie Green Deputy Commissioner REP",
"Chemung County Board of Elections","378 South Main Street P.O. Box 588 | Elmira NY 14902","PHONE: 607-737-5475 | FAX: 607-737-5499 | EMAIL: votechemung@chemungcountyny.gov | URL: https://www.chemungcountyny.gov/420/Board-of-Elections","Mary Collins Commissioner DEM | Sperry J Navone Commissioner REP | Tina Kane Deputy Commissioner DEM | Marcy Thomas Deputy Commissioner REP",
"Chenango County Board of Elections","5 Court Street  | Norwich NY 13815","PHONE: 607-337-1760 | FAX: 607-337-1766 | EMAIL: boe@chenangocountyny.gov | URL: https://www.chenangocountyny.gov/235/Elections","Carly J Hendricks Commissioner DEM | Derik Williams Commissioner REP | Ryan Hitt Deputy Commissioner DEM | Kelsey Natoli Deputy Commissioner REP",
"Clinton County Board of Elections","County Government Center - 137 Margaret Street Suite 104 | Plattsburgh NY 12901","PHONE: 518-565-4740 | FAX: 518-565-4508 | EMAIL: BOE@clintoncountyny.gov | URL: https://www.clintoncountyny.gov/boe","Mary R Dyer Commissioner DEM | David J Souliere Commissioner REP | Melinda Guerin Deputy Commissioner DEM | Scott A Dubrey Deputy Commissioner REP",
